Name,TEAM CODE,Games,Games Started,Minutes,Goals,Assists,Shots On Goal,Shots,Yellow Cards,Red Cards,Season,Competition
Lionel Messi,BAR,16,16,1440,14,5,45,103,1,0,2017,Liga
Simone Zaza,VAL,14,13,1121,10,0,13,37,5,0,2017,Liga
Luis Suárez,BAR,13,13,1163,9,1,23,49,4,0,2017,Liga
Iago Aspas,CEL,15,15,1349,9,2,21,46,5,0,2017,Liga
Cédric Bakambu,VIL,14,14,1189,9,0,16,31,5,0,2017,Liga
Cristhian Stuani,GIR,15,15,1272,9,0,19,38,6,0,2017,Liga
Rodrigo,VAL,16,15,1243,8,3,16,35,3,0,2017,Liga
Gerard Moreno,ESP,16,16,1440,7,0,19,38,2,0,2017,Liga
Willian José,RSO,17,17,1428,7,1,16,46,1,0,2017,Liga
Tony Sanabria,BET,12,6,638,7,0,10,20,0,0,2017,Liga
Maxi Gómez,CEL,15,15,1279,7,1,16,33,7,0,2017,Liga
Aduriz,ATH,16,12,1156,6,1,16,32,4,0,2017,Liga
Charles,EIB,14,8,695,6,0,10,21,2,1,2017,Liga
Mikel Oyarzabal,RSO,14,13,1125,6,3,14,25,2,0,2017,Liga
Santi Mina,VAL,16,4,524,6,1,7,13,2,0,2017,Liga
Ángel,GET,13,9,817,6,0,13,23,3,0,2017,Liga
Antoine Griezmann,ATL,13,13,1081,5,3,18,31,3,1,2017,Liga
Sergio León,BET,14,12,1057,5,1,13,32,2,0,2017,Liga
Loïc Rémy,"LP
",12,6,761,5,0,16,31,1,0,2017,Liga
Cristiano Ronaldo,RMD,11,11,976,4,2,24,72,1,0,2017,Liga
Wissam Ben Yedder,SEV,10,8,730,4,0,13,22,1,0,2017,Liga
Ángel Correa,ATL,16,13,995,4,1,14,22,2,0,2017,Liga
Jorge Molina,GET,17,17,1471,4,2,15,39,4,0,2017,Liga
Jonathan Calleri,"LP
",17,16,1439,4,0,15,45,1,0,2017,Liga
Carlos Bacca,VIL,15,12,1007,4,2,12,26,3,0,2017,Liga
Lucas Pérez,DEP,14,11,1020,4,1,7,15,1,0,2017,Liga
Iñaki Williams,ATH,16,12,1122,3,3,12,24,0,0,2017,Liga
Pione Sisto,CEL,16,16,1333,3,8,10,25,1,0,2017,Liga
Leo Baptistao,ESP,15,14,1196,3,3,12,37,1,0,2017,Liga
Juanmi,RSO,12,6,482,3,0,5,16,1,0,2017,Liga
Munir El Haddadi,ALA,15,13,1164,3,3,13,37,3,0,2017,Liga
Adrián,DEP,9,6,605,3,2,8,18,0,0,2017,Liga
Nicola Sansone,VIL,9,3,300,3,1,4,6,0,0,2017,Liga
Kevin Gameiro,ATL,10,6,489,3,1,8,9,0,0,2017,Liga
Luis Muriel,SEV,13,9,831,3,0,14,33,2,0,2017,Liga
Diego Rolan,MAG,11,9,821,3,0,7,16,0,0,2017,Liga
Gonçalo Guedes,VAL,12,8,805,3,5,7,19,1,0,2017,Liga
Sergi Enrich,EIB,17,12,1160,2,1,9,27,1,0,2017,Liga
Christian Santos,ALA,10,5,433,2,0,4,7,4,1,2017,Liga
Paco Alcácer,BAR,8,4,336,2,2,4,10,0,0,2017,Liga
Claudio Beauvue,LGN,13,9,875,2,0,8,21,3,0,2017,Liga
Florin Andone,DEP,12,6,634,2,2,12,21,3,0,2017,Liga
Gareth Bale,RMD,5,4,396,2,1,5,13,0,0,2017,Liga
Karim Benzema,RMD,11,10,817,2,3,8,24,0,0,2017,Liga
Enes Ünal,LEV,13,9,852,2,1,6,11,0,0,2017,Liga
Cristian Tello,BET,13,8,816,2,2,7,20,1,0,2017,Liga
Borja Bastón,MAG,13,7,762,2,0,9,21,2,0,2017,Liga
Adnan Januzaj,RSO,12,9,754,2,3,7,30,3,0,2017,Liga
Nolito,SEV,12,7,701,2,4,9,16,2,0,2017,Liga
Ivi,LEV,14,6,712,2,2,5,18,1,0,2017,Liga
Amath N'Diaye,GET,17,17,1324,2,0,6,17,2,0,2017,Liga
