Name,TEAM CODE,Games,Games Started,Minutes,Fouls Suffered,Fouls Committed,Yellow Cards,Red Cards,Offsides,Crosses,Corner Kicks,Penalty Kick Goals,Penalty Kicks,Season,Competition
Simone Zaza,VAL,15,14,1181,20,27,7,1,9,9,0,0,0,2017,Liga
Maxi Gómez,CEL,16,16,1358,43,28,7,0,14,6,0,0,0,2017,Liga
Cristhian Stuani,GIR,15,15,1272,36,46,6,0,12,1,0,0,0,2017,Liga
Iago Aspas,CEL,16,16,1439,32,14,5,0,4,30,14,1,1,2017,Liga
Cédric Bakambu,VIL,15,15,1269,19,41,5,0,11,18,0,1,1,2017,Liga
Christian Santos,ALA,10,5,433,0,17,4,1,2,2,0,0,0,2017,Liga
Aduriz,ATH,17,12,1175,18,20,4,0,17,16,0,2,3,2017,Liga
Luis Suárez,BAR,14,14,1253,22,22,4,0,30,19,0,0,0,2017,Liga
Jorge Molina,GET,17,17,1471,27,26,4,0,25,12,0,2,2,2017,Liga
Kike García,EIB,16,12,1016,24,16,3,0,6,11,0,0,0,2017,Liga
Claudio Beauvue,LGN,13,9,875,16,17,3,0,8,6,0,0,0,2017,Liga
Florin Andone,DEP,13,6,679,8,20,3,0,9,3,0,0,1,2017,Liga
Adalberto Peñaranda,MAG,11,10,728,24,27,3,0,3,4,0,0,0,2017,Liga
Zakaria Bakkali,DEP,12,6,502,11,11,3,0,1,14,2,0,0,2017,Liga
Munir El Haddadi,ALA,15,13,1164,55,15,3,0,26,31,17,0,0,2017,Liga
Rodrigo,VAL,17,16,1333,21,16,3,0,7,21,0,1,1,2017,Liga
Antoine Griezmann,ATL,14,14,1171,23,10,3,1,11,25,9,0,0,2017,Liga
Ángel,GET,13,9,817,13,17,3,0,19,17,0,0,0,2017,Liga
Adnan Januzaj,RSO,12,9,754,32,17,3,0,5,40,15,0,0,2017,Liga
Carlos Bacca,VIL,16,13,1062,10,11,3,0,18,10,0,0,0,2017,Liga
Gerard Moreno,ESP,17,17,1530,33,22,2,0,17,21,1,1,1,2017,Liga
Charles,EIB,14,8,695,12,16,2,1,7,3,0,1,1,2017,Liga
Mikel Oyarzabal,RSO,14,13,1125,22,15,2,0,4,75,50,0,0,2017,Liga
Santi Mina,VAL,17,4,545,12,12,2,0,4,2,0,1,1,2017,Liga
Nahuel Leiva,BET,7,3,250,6,7,2,0,0,6,0,0,0,2017,Liga
Ángel Correa,ATL,17,13,1022,19,23,2,0,4,29,2,0,0,2017,Liga
Sergio León,BET,15,13,1147,20,13,2,0,8,10,1,0,1,2017,Liga
Borja Bastón,MAG,13,7,762,6,13,2,0,7,4,0,1,2,2017,Liga
Luis Muriel,SEV,13,9,831,6,14,2,0,18,8,1,0,0,2017,Liga
Nolito,SEV,12,7,701,14,4,2,0,11,20,12,0,0,2017,Liga
Amath N'Diaye,GET,17,17,1324,24,31,2,0,3,20,0,0,0,2017,Liga
