position,teamName,crestURI,TEAM CODE,playedGames,points,goals,goalsAgainst,goalDifference,wins,draws,losses,homeDraws,homeGoals,homeGoalsagainst,homeLosses,homeWins,awayDraws,awayGoals,awayGoalsagainst,awayLosses,awayWins,league,matchday
1,FC Barcelona,http://upload.wikimedia.org/wikipedia/de/a/aa/Fc_barcelona.svg,BAR,16,42,42,7,35,13,3,0,1,26,4,0,7,2,16,3,0,6,la_liga,17
2,Club Atlético de Madrid,http://upload.wikimedia.org/wikipedia/de/c/c1/Atletico_Madrid_logo.svg,ATL,17,36,25,8,17,10,6,1,3,8,3,0,4,3,17,5,1,6,la_liga,17
3,Valencia CF,http://upload.wikimedia.org/wikipedia/de/7/75/FC_Valencia.svg,VAL,16,34,36,16,20,10,4,2,2,19,4,0,6,2,17,12,2,4,la_liga,17
4,Real Madrid CF,http://upload.wikimedia.org/wikipedia/de/3/3f/Real_Madrid_Logo.svg,RMD,15,31,30,11,19,9,4,2,2,19,6,1,5,2,11,5,1,4,la_liga,17
5,Sevilla FC,http://upload.wikimedia.org/wikipedia/en/8/86/Sevilla_cf_200px.png,SEV,17,29,20,22,-2,9,2,6,2,13,3,0,6,0,7,19,6,3,la_liga,17
6,Villarreal CF,http://upload.wikimedia.org/wikipedia/de/7/70/Villarreal_CF_logo.svg,VIL,16,24,23,20,3,7,3,6,1,14,6,2,4,2,9,14,4,3,la_liga,17
7,SD Eibar,http://upload.wikimedia.org/wikipedia/en/7/75/SD_Eibar_logo.svg,EIB,17,24,22,29,-7,7,3,7,2,17,10,2,5,1,5,19,5,2,la_liga,17
8,Getafe CF,http://upload.wikimedia.org/wikipedia/de/d/de/Getafe_CF.svg,GET,17,23,22,16,6,6,5,6,1,15,7,3,5,4,7,9,3,1,la_liga,17
9,Real Sociedad de Fútbol,http://upload.wikimedia.org/wikipedia/de/5/55/Real_Sociedad_San_Sebastián.svg,RSO,17,23,31,29,2,6,5,6,3,19,17,3,3,2,12,12,3,3,la_liga,17
10,Girona FC,http://upload.wikimedia.org/wikipedia/en/9/90/For_article_Girona_FC.svg,GIR,17,23,21,26,-5,6,5,6,2,10,13,4,3,3,11,13,2,3,la_liga,17
11,Athletic Club,http://upload.wikimedia.org/wikipedia/de/7/7f/Athletic_Club_Bilbao.svg,ATH,17,21,18,19,-1,5,6,6,4,5,5,2,2,2,13,14,4,3,la_liga,17
12,CD Leganes,http://upload.wikimedia.org/wikipedia/en/thumb/0/02/Club_Deportivo_Leganés.png/180px-Club_Deportivo_Leganés.png,LGN,16,21,12,14,-2,6,3,7,2,6,6,2,3,1,6,8,5,3,la_liga,17
13,Real Betis,http://upload.wikimedia.org/wikipedia/de/4/43/Real_Betis.svg,BET,17,21,25,31,-6,6,3,8,2,17,15,3,4,1,8,16,5,2,la_liga,17
14,RCD Espanyol,http://upload.wikimedia.org/wikipedia/de/a/a7/RCD_Espanyol_De_Barcelona.svg,ESP,17,20,14,21,-7,5,5,7,1,9,6,3,5,4,5,15,4,0,la_liga,17
15,RC Celta de Vigo,http://upload.wikimedia.org/wikipedia/de/0/0c/Celta_Vigo.svg,CEL,16,18,27,24,3,5,3,8,2,11,10,3,3,1,16,14,5,2,la_liga,17
16,Levante UD,http://upload.wikimedia.org/wikipedia/de/1/1f/Levante_ud.svg,LEV,17,18,15,22,-7,3,9,5,4,10,15,4,2,5,5,7,1,1,la_liga,17
17,Deportivo Alavés,http://upload.wikimedia.org/wikipedia/en/2/2e/Deportivo_Alaves_logo.svg,ALA,17,15,13,25,-12,5,0,12,0,7,13,6,3,0,6,12,6,2,la_liga,17
18,RC Deportivo La Coruna,http://upload.wikimedia.org/wikipedia/en/4/4e/RC_Deportivo_La_Coruña_logo.svg,DEP,16,15,18,31,-13,4,3,9,1,9,13,4,3,2,9,18,5,1,la_liga,17
19,Málaga CF,http://upload.wikimedia.org/wikipedia/de/e/e8/FC_Málaga.svg,MAG,17,11,13,31,-18,3,2,12,2,9,14,4,2,0,4,17,8,1,la_liga,17
20,UD Las Palmas,http://upload.wikimedia.org/wikipedia/en/2/20/UD_Las_Palmas_logo.svg,LP,17,11,13,38,-25,3,2,12,1,8,19,5,2,1,5,19,7,1,la_liga,17
